Senyawa1,Senyawa2,AS
L-Phenylalanine,Licuroside,0.2017853940930864
Lycopene,Spermine,0.2013907145486093
Licuroside,alpha-Terpinene,0.2009894867037724
Licuroside,4-Terpineol,0.2009894867037724
(+)-S-Carvone,Licuroside,0.2009894867037724
Ferruginol,Caffeic acid,0.20094568892645814
Licuroside,Octadecanoic acid,0.20076590076590076
Serotonin,Sweroside,0.20073309043897283
Sweroside,Guanosine,0.20040896603396605
Spermine,Punicalin,0.20038842736211152
Gallic acid,Ferruginol,0.2000967782217782
Fisetin,Tetrahydroalstonine,0.19953657453657456
Licuroside,Oxalic acid,0.1993376993376994
Vindoline,Gallic acid,0.19932411338661338
Sweroside,Salicylic acid,0.19834332334332327
Coumarin,Sweroside,0.19782410571884257
Spermine,Kaempferol 3-glucuronide,0.19778905305221095
Vindoline,Ellagic acid,0.1973551448551448
Salicylic acid,Ferruginol,0.19688863767811138
Sweroside,Caffeic acid,0.19681040113732415
Coumarin,Ferruginol,0.1966783216783216
Ferruginol,Spermidine,0.19657009657009658
Labiatenic acid,Ferruginol,0.19650488400488397
Sweroside,Chelerythrine,0.19523209348790743
Punicalin,Tetrahydroalstonine,0.1948676323676323
Sweroside,Methyl rosmarinate,0.1943056943056943
Vindoline,Vincristine,0.19423076923076923
Adenosine,Vindoline,0.19398738516385572
Vindoline,Licuroside,0.19372294372294366
Tetrahydroalstonine,Gallic acid,0.19371253746253747
Sweroside,Kaempferol 3-glucuronide,0.19355644355644358
Ellagic acid,Spermine,0.19344760502655223
Spermine,Guanosine,0.19343814080656194
Tetrahydroalstonine,Methyl rosmarinate,0.1924464424464424
Tetrahydroalstonine,Vincristine,0.1921278721278721
Tryptamine,Ferruginol,0.19125060985526096
Fisetin,Licuroside,0.19112831612831616
Licuroside,Sanguinarine,0.19085676228533374
Benzoic acid,Sweroside,0.19079432472289617
Vindoline,Spermidine,0.19079254079254088
Vindoline,Hirsutrin,0.19051448551448555
Chelerythrine,Spermine,0.1902723959027508
Sweroside,Labiatenic acid,0.19018481518481517
Ferruginol,Oestrone,0.1899579587079587
Kaempferol 3-glucuronide,Tetrahydroalstonine,0.18981018981018982
Coumestrol,Ferruginol,0.18922937527588693
Chelerythrine,Vindoline,0.18906384313361052
Licuroside,6-Hydroxymellein,0.18811743811743808
Spermine,Benzoic acid,0.18758058983622886
Quercetin,Isoliquiritin,0.18739593739593738
Sweroside,Oestrone,0.18722527472527467
Benzoic acid,Ferruginol,0.1868577850720708
Glycyrrhizic acid,Ferruginol,0.18629807692307696
Serotonin,Licuroside,0.18622553916671566
Sweroside,Peucedanin,0.1861451048951049
Spermine,Methyl rosmarinate,0.18611213348055455
Peucedanin,Ferruginol,0.1859234515484515
Quercetin,N6-(delta2-Isopentenyl)adenine,0.1857382383698173
Spermine,Adenosine,0.18565335593199367
Licuroside,Lycopene,0.18562687312687312
Sweroside,Coumestrol,0.185364054550101
Sweroside,Isoprene,0.18523783908399294
Licuroside,N6-(delta2-Isopentenyl)adenine,0.18514818514818515
Testosterone,Ferruginol,0.1847027972027972
Guanosine,Vindoline,0.18445616883116886
Spermidine,Sweroside,0.18430735930735934
Sweroside,Testosterone,0.18418768731268725
Hirsutrin,Quercetin,0.18403701561596292
Spermidine,Tetrahydroalstonine,0.1838827838827839
Tetrahydroalstonine,Hirsutrin,0.1836496836496837
Quercetin,L-Phenylalanine,0.18337735139354586
Tetrahydroalstonine,Ellagic acid,0.1832467532467533
Tetrahydroalstonine,Chelerythrine,0.1831424389563925
Ferruginol,Naringenin,0.1829943312501451
Glycyrrhetinic acid,Ferruginol,0.182558066933067
3' 5'-cyclic AMP,Isoliquiritin,0.1824321511821512
Glycyrrhizic acid,Vindoline,0.1823801198801199
Oxalic acid,Hirsutrin,0.18224442224442222
Glycyrrhetinic acid,Sweroside,0.18209290709290712
Quinic acid,Ferruginol,0.1817814538402774
Spermine,Labiatenic acid,0.18171010276273428
Oxalic acid,Quercetin,0.18147933937407623
Salicylic acid,Spermine,0.1814750346606302
Glycyrrhizic acid,Spermine,0.18144136565189195
Ferruginol,Malic acid,0.1812959767505222
Sweroside,Glycyrrhizic acid,0.18126665001664996
Isoprene,Spermine,0.18122767920338773
Quercetin,Sanguinarine,0.18119724886642175
Tryptamine,Sweroside,0.18111539623167536
Coumarin,Vindoline,0.18106016790227314
Coumarin,Spermine,0.18070479843333018
L-Phenylalanine,Oxalic acid,0.1803239495547188
Sweroside,Rutin,0.18030454394090759
Caffeic acid,Spermine,0.18029844649277843
Ferruginol,"1,3,7-Trihydroxyxanthone",0.1799785036392179
Ferruginol,Rutin,0.17994883903974812
Vindoline,Caffeic acid,0.17987781449319912
6-Hydroxymellein,Hirsutrin,0.17986013986013985
delta-Tocopherol,Ferruginol,0.17937744074107712
Sweroside,delta-Tocopherol,0.17899146308237218
Vindoline,Testosterone,0.1787681068931069
Naringenin,Sweroside,0.17816485839741655
Licuroside,alpha-Pinene,0.17797587028356257
alpha-Terpinene,Isoliquiritin,0.17739403453689168
Isoliquiritin,(+)-S-Carvone,0.17739403453689168
Isoliquiritin,4-Terpineol,0.17739403453689168
Loganic acid,Sweroside,0.17723942723942723
Sweroside,Malic acid,0.1771467169194442
Octadecanoic acid,Quercetin,0.17702648228964019
Salicylic acid,Vindoline,0.17687356503145976
Licuroside,Tetrahydroalstonine,0.17682317682317683
Ferruginol,Berberine,0.17666424484606302
Glycyrrhizic acid,Tetrahydroalstonine,0.17664973914973914
Oxalic acid,Octadecanoic acid,0.17653457653457652
6-Hydroxymellein,Quercetin,0.17637625532362378
"1,3,7-Trihydroxyxanthone",Sweroside,0.1761207542457542
Quercetin,3' 5'-cyclic AMP,0.1759474078553026
Gallic acid,Quercetin,0.17572559019927445
Vitamin A,Sweroside,0.17565648637077205
Sanguinarine,Oxalic acid,0.17529031814746096
Benzoic acid,Vindoline,0.17516412159269298
Testosterone,Spermine,0.1750525789999475
N6-(delta2-Isopentenyl)adenine,Gallic acid,0.17490842490842487
Tetrahydroalstonine,Caffeic acid,0.17464906887983814
Tetrahydroalstonine,Adenosine,0.17451502745620398
Isoliquiritin,Octadecanoic acid,0.17400377400377404
Sweroside,Quinic acid,0.17383351942175473
Ferruginol,Isoprene,0.17380696226850073
Gallic acid,Licuroside,0.17350357975357977
Oxalic acid,Kaempferol 3-glucuronide,0.17328504828504826
Hirsutrin,(+)-S-Carvone,0.172987012987013
alpha-Terpinene,Hirsutrin,0.172987012987013
4-Terpineol,Hirsutrin,0.172987012987013
3' 5'-cyclic AMP,Oxalic acid,0.17291736041736044
Spermine,Oestrone,0.17241092241092232
Myricetin,Ferruginol,0.17227910977910976
Ferruginol,Folic acid,0.1722277722277722
9-Ribosyl-trans-zeatin,Sweroside,0.17216711859569006
Kaempferol 3-glucuronide,Licuroside,0.17207792207792205
Serotonin,Spermine,0.1720199305338624
Coumarin,Tetrahydroalstonine,0.17188075082811927
"Methyl 3,4,5-trihydroxybenzoate",Sweroside,0.1717961525653833
Sweroside,"3,4-Dihydroxybenzoic acid",0.17168029339081964
Quercetin,alpha-Terpinene,0.1716704348283295
4-Terpineol,Quercetin,0.1716704348283295
Quercetin,(+)-S-Carvone,0.1716704348283295
6-Hydroxymellein,N6-(delta2-Isopentenyl)adenine,0.1714951714951715
delta-Tocopherol,Spermine,0.17141709964676474
Kaempferol 3-glucuronide,Ferruginol,0.17139110889110892
Sweroside,Riboflavin,0.1713732695875553
Punicalin,Licuroside,0.17127664002664
Gallic acid,Oxalic acid,0.17105810855810855
"3,4-Dihydroxybenzoic acid",Ferruginol,0.1708521741416478
Oxalic acid,Isoliquiritin,0.17062567062567063
Testosterone,Tetrahydroalstonine,0.17047952047952047
Salicylic acid,Tetrahydroalstonine,0.17031214399635453
Vindoline,Coumestrol,0.17030353367562664
Tryptamine,Vindoline,0.17017575447808006
Tetrahydroalstonine,Benzoic acid,0.17005613434184857
Vindoline,Oestrone,0.17004662004662002
"1,3,7-Trihydroxyxanthone",Vindoline,0.16965177679463392
Ferruginol,"Methyl 3,4,5-trihydroxybenzoate",0.16963165040088113
Vanillic acid,Sweroside,0.1687191014114091
Quercetin,Punicalin,0.1685058362689942
Quercetin,Fisetin,0.16841053683158952
Sanguinarine,4-Terpineol,0.16840982147104597
Sanguinarine,(+)-S-Carvone,0.16840982147104597
Sanguinarine,alpha-Terpinene,0.16840982147104597
Chelerythrine,Licuroside,0.16834715671924977
Isoprene,Vindoline,0.16822600476446634
6-Hydroxymellein,Methyl rosmarinate,0.16805416805416806
Kaempferol 3-glucuronide,Quercetin,0.16787488826962518
6-Hydroxymellein,Oxalic acid,0.16785066785066782
Linoleic acid,Sweroside,0.16780875374625373
Berberine,Vindoline,0.16746889474162205
6-Hydroxymellein,4-Terpineol,0.1674515960230246
alpha-Terpinene,6-Hydroxymellein,0.1674515960230246
(+)-S-Carvone,6-Hydroxymellein,0.1674515960230246
N6-(delta2-Isopentenyl)adenine,L-Phenylalanine,0.1673625519779366
Loganic acid,Ferruginol,0.16731185481185482
Fisetin,6-Hydroxymellein,0.16708291708291706
Spermidine,Licuroside,0.16705516705516707
Vitamin A,Ferruginol,0.166983016983017
N6-(delta2-Isopentenyl)adenine,Sanguinarine,0.16691245262673837
Octadecanoic acid,Lycopene,0.16684149184149183
Ferruginol,Vanillic acid,0.16683316683316682
Quercetin,alpha-Pinene,0.166784632371677
Loganic acid,N6-(delta2-Isopentenyl)adenine,0.16648166648166646
Tetrahydroalstonine,Guanosine,0.16622960372960371
Sweroside,Folic acid,0.16606250891965174
3' 5'-cyclic AMP,Hirsutrin,0.16590409590409586
Berberine,Sweroside,0.16573199527744983
Methyl rosmarinate,Licuroside,0.1656676656676657
Kaempferol 3-glucuronide,Vindoline,0.16542832167832167
Spermine,Coumestrol,0.16517998525342478
Octadecanoic acid,Hirsutrin,0.16516816516816507
9-Ribosyl-trans-zeatin,Spermine,0.16509805983490192
Hirsutrin,L-Phenylalanine,0.16496119265350034
Peucedanin,Spermine,0.16441716178558294
Ferruginol,Linoleic acid,0.16408591408591408
Lycopene,Quercetin,0.1640234765234765
Sweroside,Myricetin,0.16371128871128876
Vindoline,delta-Tocopherol,0.16364317500681136
Vindoline,Quinic acid,0.16342481048363408
Sweroside,"3',4',7-Trihydroxyflavone",0.16337828837828836
Ellagic acid,Licuroside,0.16325008325008325
Chrysoeriol,Ferruginol,0.16307376833692616
Linoleic acid,Spermine,0.16302118933697882
Ferruginol,Tanshinone II,0.16298389110889117
Naringenin,Vindoline,0.16274713658434592
Vindoline,Rutin,0.1627160718069809
Glycyrrhetinic acid,Vindoline,0.16262487512487522
Lycopene,Isoliquiritin,0.16252497502497504
Oxalic acid,Lycopene,0.16251803751803756
Guanosine,Quercetin,0.16241981702508015
Lycopene,L-Phenylalanine,0.16241450856835474
Vincristine,Quercetin,0.16238708659761292
Spermine,Tryptamine,0.16226857597726635
Ferruginol,Apigenin,0.1621701469262445
Rutin,Spermine,0.16211858317121483
6-Hydroxymellein,Kaempferol 3-glucuronide,0.16204628704628704
Ferruginol,Isoliquiritigenin,0.16203142095999232
Licuroside,Caffeic acid,0.1620142677834986
Oestrone,Tetrahydroalstonine,0.16193528693528694
Lycopene,N6-(delta2-Isopentenyl)adenine,0.16181041181041178
9-Ribosyl-trans-zeatin,Ferruginol,0.16164192949907238
Licuroside,Adenosine,0.16163901458019103
Vindoline,Riboflavin,0.16138325959754532
L-Phenylalanine,Punicalin,0.1613098440021517
Acetylursolic acid,Ferruginol,0.16127622377622383
Punicalin,Oxalic acid,0.1612554112554113
Licuroside,Vincristine,0.16122544122544125
6-Hydroxymellein,Punicalin,0.1610785048285048
Fisetin,L-Phenylalanine,0.1610120648582187
Peucedanin,Vindoline,0.16098901098901103
6-Hydroxymellein,Isoliquiritin,0.16095016095016096
9-Ribosyl-trans-zeatin,Vindoline,0.16089267874982163
Sanguinarine,6-Hydroxymellein,0.16088673231530373
Cryptotanshinone,Ferruginol,0.1608263531340454
(+)-S-Carvone,Kaempferol 3-glucuronide,0.16082132153560727
Kaempferol 3-glucuronide,alpha-Terpinene,0.16082132153560727
4-Terpineol,Kaempferol 3-glucuronide,0.16082132153560727
Chrysoeriol,Sweroside,0.16076029233923977
Licuroside,Guanosine,0.16063103563103562
Sanguinarine,L-Phenylalanine,0.16037808345500662
beta-Monoolein,Sweroside,0.16018356643356643
Myricetin,Vindoline,0.16005175380175385
Octadecanoic acid,N6-(delta2-Isopentenyl)adenine,0.16003256003256003
L-Phenylalanine,Gallic acid,0.15959040959040957
Hirsutrin,Lycopene,0.15957542457542456
Quercetin,Ellagic acid,0.15942478574057506
Sanguinarine,Octadecanoic acid,0.15935175935175935
L-Phenylalanine,4-Terpineol,0.15918147786279657
(+)-S-Carvone,L-Phenylalanine,0.15918147786279657
alpha-Terpinene,L-Phenylalanine,0.15918147786279657
Hirsutrin,Licuroside,0.15913419913419918
Ferruginol,Kaempferol,0.15906728406728404
Serotonin,Isoliquiritin,0.15878239407651173
L-Phenylalanine,Isoliquiritin,0.1587002740848895
Chelerythrine,Quercetin,0.15862167208556432
Sanguinarine,Hirsutrin,0.15856524427953003
Sweroside,Apigenin,0.15838734436295415
Isoliquiritin,N6-(delta2-Isopentenyl)adenine,0.15836015836015835
Spermidine,Spermine,0.15831887410834786
Vindoline,Malic acid,0.15817137408046505
Glycyrrhetinic acid,Spermine,0.15810242389189774
Spermine,Riboflavin,0.15792853762778575
Fisetin,Hirsutrin,0.1578454878454878
L-Phenylalanine,3' 5'-cyclic AMP,0.15766925382309996
Octadecanoic acid,Kaempferol 3-glucuronide,0.1574758574758575
N6-(delta2-Isopentenyl)adenine,3' 5'-cyclic AMP,0.15739121989121987
Naringin,Ferruginol,0.15736763236763235
Isoprene,Tetrahydroalstonine,0.15725300340684958
Linoleic acid,Vindoline,0.15706168831168835
Cryptotanshinone,Sweroside,0.1570608878301186
Fisetin,N6-(delta2-Isopentenyl)adenine,0.15688015688015688
Ferruginol,Riboflavin,0.15669152276295137
Vindoline,Apigenin,0.15665736702322075
(+)-S-Carvone,N6-(delta2-Isopentenyl)adenine,0.15663701377987094
N6-(delta2-Isopentenyl)adenine,alpha-Terpinene,0.15663701377987094
4-Terpineol,N6-(delta2-Isopentenyl)adenine,0.1566370137798709
Spermine,Loganic acid,0.15659778817673556
Sanguinarine,Isoliquiritin,0.15657358514501374
Tetrahydroalstonine,Berberine,0.15647988375261102
Vitamin A,Vindoline,0.15647209932924222
Kaempferol,Sweroside,0.1564415314415314
Lycopene,Sanguinarine,0.1562901384329956
N6-(delta2-Isopentenyl)adenine,Oxalic acid,0.15617715617715616
Ellagic acid,Oxalic acid,0.1559507159507159
Loganin,Sweroside,0.15594821844821843
Tryptamine,Tetrahydroalstonine,0.15569701616213244
Ferruginol,2'-Hydroxygenistein,0.15557078057078055
Tetrahydroalstonine,"1,3,7-Trihydroxyxanthone",0.15554980733552162
Serotonin,(+)-S-Carvone,0.15539082765973528
Serotonin,alpha-Terpinene,0.15539082765973528
4-Terpineol,Serotonin,0.15539082765973528
Fisetin,Isoliquiritin,0.1553862803862804
Caffeic acid,Oxalic acid,0.15535532843225144
6-Hydroxymellein,L-Phenylalanine,0.154947616486078
Spermine,"1,3,7-Trihydroxyxanthone",0.1548892836486821
Octadecanoic acid,L-Phenylalanine,0.15486564717333948
Sweroside,Tanshinone II,0.15476398601398603
4-Terpineol,3' 5'-cyclic AMP,0.15472919937205654
alpha-Terpinene,3' 5'-cyclic AMP,0.15472919937205654
3' 5'-cyclic AMP,(+)-S-Carvone,0.15472919937205654
Sweroside,Naringin,0.1547015484515485
Coumestrol,Tetrahydroalstonine,0.15457023596558475
Isoliquiritigenin,Sweroside,0.15452404738119022
L-Phenylalanine,Methyl rosmarinate,0.1544481159865775
Spermine,Folic acid,0.15442151833129275
Ferruginol,Protopine,0.15430402930402934
(-)-Jasmonic acid,Ferruginol,0.15430402930402934
Quercetin,Labiatenic acid,0.15419814104024637
Fisetin,Kaempferol 3-glucuronide,0.15417915417915418
Quercetin,Benzoic acid,0.15398949421505806
Sanguinarine,3' 5'-cyclic AMP,0.1539858950573236
Chelerythrine,Oxalic acid,0.15398038653852603
Vindoline,Labiatenic acid,0.15390859140859137
Tetrahydroalstonine,Riboflavin,0.1539056181913325
Spermine,"Methyl 3,4,5-trihydroxybenzoate",0.1537827894103199
Glycyrrhizic acid,Licuroside,0.15366577866577863
Spermine,Naringenin,0.1535820360789762
Gallic acid,3' 5'-cyclic AMP,0.15358079420579415
N6-(delta2-Isopentenyl)adenine,Hirsutrin,0.15355311355311357
Coumarin,Licuroside,0.15352483773536407
Acetylursolic acid,Sweroside,0.15348401598401606
N6-(delta2-Isopentenyl)adenine,Vincristine,0.15343323343323342
Kaempferol 3-glucuronide,N6-(delta2-Isopentenyl)adenine,0.15341602841602844
Sweroside,Oleic acid,0.15327485014985018
Quercetin,Serotonin,0.15323530958205894
Ferruginol,Liquiritin,0.15318655703271086
Vanillin,Ferruginol,0.15305527805527808
alpha-Pinene,Hirsutrin,0.15270575578267884
"3,4-Dihydroxybenzoic acid",Spermine,0.1526451387947233
Ferruginol,Oleic acid,0.15262237762237763
Chelerythrine,N6-(delta2-Isopentenyl)adenine,0.1526096642375712
Oleanolic acid,Ferruginol,0.15255700182170773
Fisetin,Punicalin,0.15238407425907427
Quercetin,Caffeic acid,0.15218132070358775
Sanguinarine,alpha-Pinene,0.1521299213606906
Quercetin,Salicylic acid,0.15206400247951488
Vanillin,Sweroside,0.15189356098447007
alpha-Pinene,Isoliquiritin,0.15180972873280568
2'-Hydroxygenistein,Sweroside,0.1517030267030267
Gallic acid,Hirsutrin,0.15170079920079915
Ferruginol,Citric acid,0.15162762769145746
Vincristine,3' 5'-cyclic AMP,0.15160339660339658
Oxalic acid,alpha-Terpinene,0.15156272299129442
Oxalic acid,4-Terpineol,0.15156272299129442
(+)-S-Carvone,Oxalic acid,0.15156272299129442
Punicalin,Kaempferol 3-glucuronide,0.15148133116883117
Chelerythrine,4-Terpineol,0.1514133706824737
alpha-Terpinene,Chelerythrine,0.1514133706824737
(+)-S-Carvone,Chelerythrine,0.15141337068247365
Vindoline,Folic acid,0.15141287284144425
Guanosine,Lycopene,0.1514110889110889
Fisetin,Oxalic acid,0.15139490139490142
Salicylic acid,Oxalic acid,0.1513574145153092
Quercetin,Adenosine,0.15131514512319452
Rutin,Tetrahydroalstonine,0.15124774215683306
6-Hydroxymellein,Gallic acid,0.15122377622377625
Lycopene,Methyl rosmarinate,0.15120296370296368
Salicylic acid,Licuroside,0.151167545904388
"3,4-Dihydroxybenzoic acid",Vindoline,0.15112190441137804
Lycopene,3' 5'-cyclic AMP,0.15105987762237763
Fumaric acid,Ferruginol,0.1505661005661006
Punicalin,N6-(delta2-Isopentenyl)adenine,0.1504745254745255
Vindoline,Acetylursolic acid,0.15045579420579427
Lycopene,Gallic acid,0.15039647852147855
Tetrahydroalstonine,Peucedanin,0.15037046287046282
Gallic acid,(+)-S-Carvone,0.15029613243898962
alpha-Terpinene,Gallic acid,0.15029613243898962
Gallic acid,4-Terpineol,0.1502961324389896
Spermine,Vanillic acid,0.15025595187538518
Adenosine,Oxalic acid,0.15017226781932666
Octadecanoic acid,Gallic acid,0.15011238761238757
Vindoline,"3',4',7-Trihydroxyflavone",0.1500999000999001
Caffeic acid,6-Hydroxymellein,0.1500614769845539
Ferruginol,Trigonelline,0.150058275058275
Spermine,Malic acid,0.15003059141815142
beta-Monoolein,Spermine,0.14981071560018924
Gallic acid,Sanguinarine,0.14965689072831934
Methyl rosmarinate,Gallic acid,0.14957958707958707
Fisetin,Lycopene,0.14956918081918077
Labiatenic acid,6-Hydroxymellein,0.14949864949864952
Trigonelline,Sweroside,0.1494292744292744
Ferruginol,trans-Zeatin,0.14942464942464942
Octadecanoic acid,Chelerythrine,0.1494133773203541
Fisetin,Sanguinarine,0.14939425653711366
beta-Monoolein,Ferruginol,0.14935064935064937
Punicalin,Sanguinarine,0.1492436135293278
Oxalic acid,Serotonin,0.14915803151097273
Guanosine,Gallic acid,0.1490540709290709
Kaempferol 3-glucuronide,Hirsutrin,0.14894605394605395
3' 5'-cyclic AMP,Kaempferol 3-glucuronide,0.14883553946053948
alpha-Pinene,Oxalic acid,0.1487316102700718
Punicalin,(+)-S-Carvone,0.14869951477094337
4-Terpineol,Punicalin,0.14869951477094337
alpha-Terpinene,Punicalin,0.14869951477094337
Sweroside,Liquiritin,0.14861740823279285
Quercetin,Coumarin,0.14847202658837008
Methyl rosmarinate,Hirsutrin,0.14833166833166836
Naringenin,Tetrahydroalstonine,0.14831292738269483
Coumarin,Oxalic acid,0.1481870955555166
Serotonin,Hirsutrin,0.14818593171534344
Protopine,Vindoline,0.14818514818514822
Vindoline,(-)-Jasmonic acid,0.14818514818514822
alpha-Pinene,L-Phenylalanine,0.1480885977927398
Cholesterol,Ferruginol,0.14804986679986679
Octadecanoic acid,3' 5'-cyclic AMP,0.14796037296037298
Vincristine,Fisetin,0.1478188478188478
alpha-Terpinene,Octadecanoic acid,0.14779506208077636
Octadecanoic acid,4-Terpineol,0.14779506208077636
(+)-S-Carvone,Octadecanoic acid,0.14779506208077636
Punicalin,Methyl rosmarinate,0.14777930402930403
6-Hydroxymellein,alpha-Pinene,0.1476472245703015
Tetrahydroalstonine,Malic acid,0.1475721248448521
9-Ribosyl-trans-zeatin,Licuroside,0.14756671899529042
Loganic acid,Vindoline,0.14753996003996003
6-Hydroxymellein,Octadecanoic acid,0.14741924741924745
Benzoic acid,Licuroside,0.14734471877329022
alpha-Pinene,N6-(delta2-Isopentenyl)adenine,0.14716053177591643
Guanosine,3' 5'-cyclic AMP,0.14712631118881117
Licuroside,Oestrone,0.14703907203907204
Hirsutrin,Punicalin,0.1470104895104895
Isoliquiritin,Gallic acid,0.1467698967698968
Vincristine,Hirsutrin,0.14664695304695305
Guanosine,Oxalic acid,0.14632589632589632
Kaempferol 3-glucuronide,Lycopene,0.14627559940059942
alpha-Pinene,3' 5'-cyclic AMP,0.14619034811342504
N6-(delta2-Isopentenyl)adenine,Benzoic acid,0.14615807472950335
6-Hydroxymellein,Lycopene,0.14612470862470864
Tetrahydroalstonine,Glycyrrhetinic acid,0.14535464535464546
N6-(delta2-Isopentenyl)adenine,Ellagic acid,0.14528138528138534
Vincristine,Oxalic acid,0.14528138528138526
Sweroside,Citric acid,0.14528025166323036
