Senyawa1,Senyawa2,Topology Score
6-Hydroxymellein,Gancaonin U,0.930465293332
Vanillic acid,Glycyrrhetinic acid,0.930135701725
Isoferulic acid,p-Coumaric acid,0.927579349335
Gibberellin A3,Myristicin,0.923354291441
Mitraphylline,Isoferulic acid,0.921389403921
Semilicoisoflavone B,Isoferulic acid,0.921389403921
Mitraphylline,Thiamine,0.920090583461
Semilicoisoflavone B,Thiamine,0.920090583461
Thiamine,Isoglycyrol,0.919400369971
2'-Hydroxygenistein,"6,8-Diprenylgenistein",0.919071907938
Naringin,Tanshinone II,0.917364175284
Myoinositol,Semilicoisoflavone B,0.916901257686
Myoinositol,Mitraphylline,0.916901257686
Pregnenolone,"(6S,9R)-Roseoside",0.9166278914
"(6S,9R)-Roseoside",Uracil,0.9166278914
Vincamine,"(6S,9R)-Roseoside",0.9166278914
Coumarin,Peucedanin,0.91661971081
"6,8-Diprenylgenistein",Thiamine,0.916304270223
Isoferulic acid,Pregnenolone,0.915595207696
Isoferulic acid,Vincamine,0.915595207696
Isoferulic acid,Uracil,0.915595207696
Myristicin,(R)-linalool,0.914220921055
Thiamine,Folic acid,0.914050341032
Myoinositol,Folic acid,0.913951729028
Pregnenolone,Thiamine,0.913470006776
Vincamine,Thiamine,0.913470006776
Uracil,Thiamine,0.913470006776
Naringin,2'-Hydroxygenistein,0.912615941294
Mitraphylline,"(6S,9R)-Roseoside",0.912478531308
"(6S,9R)-Roseoside",Semilicoisoflavone B,0.912478531308
"Methyl 3,4,5-trihydroxybenzoate",Tanshinone II,0.912000810311
Myristicin,Acetovanillone,0.911694992318
Coumestrol,Glycyrrhetinic acid,0.910693178417
Myristicin,Vanillin,0.910343756419
Isoliquiritigenin,Tryptamine,0.910056196792
Fumaric acid,Vitamin A,0.909699815555
Isolicoflavonol,Mitraphylline,0.908513440802
Isolicoflavonol,Semilicoisoflavone B,0.908513440802
Tryptamine,Tanshinone II,0.907800874063
"Methyl 3,4,5-trihydroxybenzoate",2'-Hydroxygenistein,0.907562976674
Caffeic acid,Tryptamine,0.90734634761
beta-Monoolein,Succinic acid,0.907261471522
Glycyrol,Thiamine,0.906819733374
(R)-linalool,Myoinositol,0.906515591613
Scopoletin,trans-Zeatin,0.906219464197
(R)-linalool,Kaempferol,0.90551291419
Isoferulic acid,"(6S,9R)-Roseoside",0.905188533137
Protopine,(-)-Jasmonic acid,0.905043942858
Vitamin A,Myristicin,0.904743284289
Salicylic acid,Vanillic acid,0.904066327155
Thiamine,"(6S,9R)-Roseoside",0.903639611583
2'-Hydroxygenistein,Chrysoeriol,0.90342476922
Vanillic acid,"3,4-Dihydroxybenzoic acid",0.903153661419
Tryptamine,2'-Hydroxygenistein,0.903052640072
Salicylic acid,"Methyl 3,4,5-trihydroxybenzoate",0.902929442172
Naringin,Vanillic acid,0.902270303829
Acetylursolic acid,Punicalin,0.901735683504
Oleanolic acid,Tanshinone I,0.901395351341
"3,4-Dihydroxybenzoic acid","Methyl 3,4,5-trihydroxybenzoate",0.901183610886
Coumestrol,Tanshinone II,0.900776277658
Isoglycyrol,p-Coumaric acid,0.900635704047
"(6S,9R)-Roseoside",Myoinositol,0.900629330129
Peucedanin,Tanshinone II,0.900195173317
Gibberellin A3,Vincamine,0.899961629734
Gibberellin A3,Uracil,0.899961629734
Pregnenolone,Gibberellin A3,0.899961629734
alpha-Pinene,Octadecanoic acid,0.899873268632
Isoferulic acid,Thiamine,0.899542160293
Salicylic acid,Oestrone,0.89937403499
trans-Zeatin,Folic acid,0.899330136579
Isoglycyrol,Vincamine,0.899277045726
Uracil,Isoglycyrol,0.899277045726
Pregnenolone,Isoglycyrol,0.899277045726
Naringin,Glycyrrhetinic acid,0.899164273781
Myoinositol,Isoferulic acid,0.898612045831
Myoinositol,Vitamin A,0.898230952783
Kaempferol,Gibberellin A3,0.897458295642
Caffeic acid,Adenosine,0.896854501512
Pregnenolone,Folic acid,0.896215005381
Folic acid,Vincamine,0.896215005381
Uracil,Folic acid,0.896215005381
p-Coumaric acid,Scopoletin,0.896151527319
Coumestrol,2'-Hydroxygenistein,0.896028043668
Kaempferol,Vitamin A,0.89586705068
Peucedanin,2'-Hydroxygenistein,0.895446939327
Salicylic acid,"3,4-Dihydroxybenzoic acid",0.894989723268
Thiamine,trans-Zeatin,0.894239409382
alpha-Tocopherol,Testosterone,0.893968436899
Peucedanin,Vanillic acid,0.893958131521
trans-Zeatin,Myoinositol,0.893092192564
Glycyrrhetinic acid,"Methyl 3,4,5-trihydroxybenzoate",0.89290243779
Tryptamine,Vanillic acid,0.892707002607
Cryptotanshinone,Vanillic acid,0.891982319778
Isoglycyrol,trans-Zeatin,0.891003701744
Cryptotanshinone,Naringin,0.890868461594
Gibberellin A3,Myoinositol,0.89006222858
Uracil,(R)-linalool,0.889843625015
(R)-linalool,Pregnenolone,0.889843625015
Vincamine,(R)-linalool,0.889843625015
Tryptamine,Glycyrrhetinic acid,0.889670735657
beta-D-Glucosamine,Isoprene,0.8895733385
Tanshinone II,Liquiritin,0.889008422579
Isoglycyrol,Isoferulic acid,0.887873761294
Betulinic acid,Oleic acid,0.887282063587
"6,8-Diprenylgenistein",Oleanolic acid,0.886286932478
Oleanolic acid,Thiamine,0.886180449887
2'-Hydroxygenistein,Isoliquiritigenin,0.886091600368
Coumestrol,Vanillic acid,0.885682406203
Fumaric acid,Myristicin,0.885485213836
Palmitic acid,Linoleic acid,0.88502651402
2'-Hydroxygenistein,Liquiritin,0.884684778851
Naringin,Liquiritin,0.884599824573
Vitamin A,Folic acid,0.884305223283
Glycyrrhetinic acid,Malic acid,0.88425405217
Naringenin,Tryptamine,0.88400752591
Trigonelline,Folic acid,0.883876229379
Myristicin,Indole-3-acetic acid,0.883429123043
Isoglycyrol,Myoinositol,0.883322471709
Acetovanillone,Vanillin,0.883263016083
Liquiritin,Naringenin,0.883089152657
"Methyl 3,4,5-trihydroxybenzoate",Liquiritin,0.882848365802
Trigonelline,Scopoletin,0.882840085604
Isoglycyrol,"(6S,9R)-Roseoside",0.882817289982
Coumestrol,Naringenin,0.882687295707
Peucedanin,Glycyrrhetinic acid,0.882577988865
Thiamine,Trigonelline,0.882152689127
Vitamin A,Vincamine,0.881850419743
Uracil,Vitamin A,0.881850419743
Vitamin A,Pregnenolone,0.881850419743
Scopoletin,Isoferulic acid,0.881738245011
Betulinic acid,"6,8-Diprenylgenistein",0.88173422985
"1,3,7-Trihydroxyxanthone",Coumarin,0.881625363928
Myoinositol,Trigonelline,0.881597067995
Tryptamine,Peucedanin,0.88089919557
p-Coumaric acid,Glycyrol,0.880842291403
Glycyrol,Vincamine,0.880315753849
Glycyrol,Pregnenolone,0.880315753849
Uracil,Glycyrol,0.880315753849
Cryptotanshinone,Glycyrrhetinic acid,0.879751385983
Naringenin,Isoliquiritigenin,0.878629042112
Vanillin,Coumarin,0.878120088335
"1,3,7-Trihydroxyxanthone",Oestrone,0.876999023523
"6,8-Diprenylgenistein",Tanshinone I,0.87673320461
Oleanolic acid,Tanshinone II,0.87641705805
Uracil,p-Coumaric acid,0.876317101612
Vincamine,p-Coumaric acid,0.876317101612
Pregnenolone,p-Coumaric acid,0.876317101612
Folic acid,Formononetin,0.876012944345
Tryptamine,Coumestrol,0.875558740785
Trigonelline,Vitamin A,0.875372508033
Testosterone,Gibberellin A3,0.875173678504
Adenosine,Isoliquiritigenin,0.87511439698
alpha-Tocopherol,Coumarin,0.874970883292
trans-Zeatin,p-Coumaric acid,0.874508262291
Liquiritin,Vanillic acid,0.874472271576
"1,3,7-Trihydroxyxanthone",Tryptamine,0.874160903409
Tanshinone II,Malic acid,0.873908493421
Caffeic acid,Vanillic acid,0.873620111612
trans-Zeatin,Glycyrol,0.873427175171
Caffeic acid,Oestrone,0.872599252422
Caffeic acid,Isoliquiritigenin,0.872473273029
Tanshinone II,Tanshinone I,0.872350166146
p-Coumaric acid,Trigonelline,0.872200885782
Adenosine,Glycyrrhetinic acid,0.871824376744
trans-Zeatin,Trigonelline,0.871230204328
"(6S,9R)-Roseoside",Gibberellin A3,0.870561006577
Glycyrrhetinic acid,Liquiritin,0.870499263549
Isoferulic acid,Glycyrol,0.870280080854
Mitraphylline,Trigonelline,0.869987546896
Semilicoisoflavone B,Trigonelline,0.869987546896
Echinatin,Glisoflavone,0.869653686543
Isobavachalcone,Echinatin,0.869653686543
Echinatin,Glycyrrhisoflavone,0.869653686543
Isoprene,Linoleic acid,0.869480260137
Malic acid,2'-Hydroxygenistein,0.869470659785
Thiamine,Tanshinone I,0.86945141794
Glycyrrhetinic acid,Salicylic acid,0.86874440245
Myristicin,Vincamine,0.868553277111
Myristicin,Uracil,0.868553277111
Myristicin,Pregnenolone,0.868553277111
Benzoic acid,alpha-Tocopherol,0.86852734289
Peucedanin,Cryptotanshinone,0.868306990635
Adenosine,Coumestrol,0.868171290714
Caffeic acid,Cryptotanshinone,0.867992258573
Adenosine,Oestrone,0.867636415357
Naringin,"Methyl 3,4,5-trihydroxybenzoate",0.867549585114
Naringin,Tryptamine,0.867264372484
Isoglycyrol,Isolicoflavonol,0.867079012553
Testosterone,Citric acid,0.866733792343
trans-Zeatin,Uracil,0.866685099309
trans-Zeatin,Vincamine,0.866685099309
Pregnenolone,trans-Zeatin,0.866685099309
Tanshinone II,Chrysoeriol,0.86656417637
(R)-linalool,Testosterone,0.866495742476
Tanshinone II,Naringenin,0.866366650275
Cryptotanshinone,Liquiritin,0.866257011105
Glycyrol,Myoinositol,0.866028800624
Coumarin,Coumestrol,0.865755638043
Cryptotanshinone,Chrysoeriol,0.865631438004
"3,4-Dihydroxybenzoic acid","6,8-Diprenylgenistein",0.865461974859
Isoliquiritigenin,Liquiritin,0.865012661263
Testosterone,Fumaric acid,0.864897188586
Tanshinone II,"6,8-Diprenylgenistein",0.864414058165
Thiamine,Betulinic acid,0.864381186715
Cryptotanshinone,Isoliquiritigenin,0.864366669362
Ellagic acid,Coumarin,0.864014926937
Linoleic acid,Octadecanoic acid,0.863991324418
Apigenin,"1,3,7-Trihydroxyxanthone",0.863620699675
Caffeic acid,Tanshinone II,0.863478608946
Glycyrrhetinic acid,Myoinositol,0.863388915887
Myoinositol,alpha-Tocopherol,0.86326666198
alpha-Tocopherol,Myristicin,0.862860330833
Tanshinone II,Adenosine,0.862613776931
Vanillin,Peucedanin,0.862591579451
Thiamine,p-Coumaric acid,0.862160715758
Naringenin,2'-Hydroxygenistein,0.862043006546
alpha-Pinene,Riboflavin,0.861738178985
Scopoletin,Thiamine,0.861660757418
"(6S,9R)-Roseoside",Fumaric acid,0.861471213429
"(6S,9R)-Roseoside",(R)-linalool,0.861338220112
Gibberellin A3,Benzoic acid,0.861164338914
"3,4-Dihydroxybenzoic acid",Glycyrrhetinic acid,0.861133956723
Myoinositol,Scopoletin,0.861105136286
Formononetin,Vitamin A,0.861077069106
Fumaric acid,Kaempferol,0.860825950012
"Methyl 3,4,5-trihydroxybenzoate",Peucedanin,0.86065195776
Myoinositol,p-Coumaric acid,0.860639005609
Naringin,Naringenin,0.860590845638
"Methyl 3,4,5-trihydroxybenzoate",Malic acid,0.860576519963
Adenosine,Malic acid,0.860439391238
Vitamin A,7-Hydroxycoumarin,0.860223596302
Naringenin,"Methyl 3,4,5-trihydroxybenzoate",0.860206593497
Oestrone,Tryptamine,0.859973076294
Trigonelline,Vincamine,0.859914590749
Uracil,Trigonelline,0.859914590749
Trigonelline,Pregnenolone,0.859914590749
Tanshinone II,Salicylic acid,0.859648974421
Vanillic acid,Malic acid,0.859222348287
Malic acid,Coumestrol,0.859062474634
Folic acid,Naringenin,0.85863111359
Thiamine,Tanshinone II,0.858397197273
Tryptamine,"Methyl 3,4,5-trihydroxybenzoate",0.858150195601
Myristicin,Myoinositol,0.85809219474
Coumarin,Salicylic acid,0.857935094528
"(6S,9R)-Roseoside",p-Coumaric acid,0.857911414344
2'-Hydroxygenistein,Adenosine,0.857865542941
"6,8-Diprenylgenistein",Vanillin,0.857659873387
"6,8-Diprenylgenistein",Vanillic acid,0.857602458821
Testosterone,Vitamin A,0.857271605035
Cryptotanshinone,"Methyl 3,4,5-trihydroxybenzoate",0.857180751826
alpha-Tocopherol,Folic acid,0.856953168269
Thiamine,Glycyrrhetinic acid,0.856884922064
Coumarin,Myristicin,0.856751443394
Kaempferol,"1,3,7-Trihydroxyxanthone",0.856179158194
alpha-Pinene,Gallic acid,0.856117842304
"6,8-Diprenylgenistein",Myoinositol,0.856115107103
alpha-Tocopherol,7-Hydroxycoumarin,0.8556790203
Myoinositol,Kaempferol,0.855542317709
Kaempferol,Formononetin,0.855202236043
Glycyrol,"(6S,9R)-Roseoside",0.855046375377
Salicylic acid,Coumestrol,0.854936264788
Salicylic acid,2'-Hydroxygenistein,0.854900740431
"6,8-Diprenylgenistein",Cryptotanshinone,0.854886102051
Thiamine,Vanillin,0.854638369639
Fumaric acid,Vincamine,0.854460870068
Fumaric acid,Pregnenolone,0.854460870068
Uracil,Fumaric acid,0.854460870068
Folic acid,Tryptamine,0.854148286651
Isoferulic acid,trans-Zeatin,0.853827533915
Coumestrol,Naringin,0.85381708759
Thiamine,"Methyl 3,4,5-trihydroxybenzoate",0.853776718784
Thiamine,2'-Hydroxygenistein,0.853768255969
Scopoletin,Semilicoisoflavone B,0.853312958857
Mitraphylline,Scopoletin,0.853312958857
Peucedanin,Naringin,0.853235983249
Glycyrol,Isolicoflavonol,0.853073533201
Kaempferol,Myristicin,0.853019594778
Isoliquiritigenin,"1,3,7-Trihydroxyxanthone",0.852976023506
"3,4-Dihydroxybenzoic acid",Myoinositol,0.852566091371
"(6S,9R)-Roseoside",Trigonelline,0.852491724707
Benzoic acid,(R)-linalool,0.852486402886
Oleanolic acid,Cryptotanshinone,0.852410814034
Thiamine,Vanillic acid,0.852316852361
Coumestrol,"Methyl 3,4,5-trihydroxybenzoate",0.852198470141
alpha-Tocopherol,trans-Zeatin,0.852044361131
Glycyrrhetinic acid,Vincamine,0.851955729738
Glycyrrhetinic acid,Uracil,0.851955729738
Glycyrrhetinic acid,Pregnenolone,0.851955729738
Vanillic acid,Chrysoeriol,0.851953896798
Vanillic acid,Naringenin,0.851830499272
Riboflavin,Octadecanoic acid,0.851707854168
"3,4-Dihydroxybenzoic acid",Thiamine,0.851698089558
7-Hydroxycoumarin,Myristicin,0.851684760182
Formononetin,Naringenin,0.851469993327
Caffeic acid,Peucedanin,0.85112605471
Coumarin,Naringenin,0.851098750647
Oleic acid,(R)-linalool,0.851053661258
Folic acid,"6,8-Diprenylgenistein",0.850964090663
Benzoic acid,Fumaric acid,0.850887848996
Folic acid,Scopoletin,0.850720073136
Thiamine,Liquiritin,0.850698006573
Gancaonin U,Ferruginol,0.850659080528
Kaempferol,Testosterone,0.85059747054
Isolicoflavonol,p-Coumaric acid,0.850583573099
Ferruginol,6-Hydroxymellein,0.85045814469
Isoschaftoside,Sigmoidin B,0.850182691347
Kaempferol,Naringenin,0.850168352224
Chrysoeriol,Coumestrol,0.850058016215
alpha-Tocopherol,Vincamine,0.849653449224
alpha-Tocopherol,Pregnenolone,0.849653449224
Uracil,alpha-Tocopherol,0.849653449224
Oleanolic acid,Betulinic acid,0.849628334319
Tanshinone II,"3,4-Dihydroxybenzoic acid",0.849573333422
trans-Zeatin,"(6S,9R)-Roseoside",0.849489262051
Glycyrrhetinic acid,Chrysoeriol,0.848894575184
Tanshinone II,Isoliquiritigenin,0.848788051529
"6,8-Diprenylgenistein",Semilicoisoflavone B,0.848726323009
"6,8-Diprenylgenistein",Mitraphylline,0.848726323009
Isoliquiritigenin,Naringin,0.848688739013
Acetovanillone,Indole-3-acetic acid,0.848518913552
Glycyrrhetinic acid,Naringenin,0.848375438479
Adenosine,Folic acid,0.847996631974
Labiatenic acid,Punicalin,0.847668529921
Pregnenolone,Indole-3-acetic acid,0.847543479448
Indole-3-acetic acid,Vincamine,0.847543479448
Indole-3-acetic acid,Uracil,0.847543479448
Adenosine,Vanillic acid,0.847519905476
Folic acid,Mitraphylline,0.847279606712
Semilicoisoflavone B,Folic acid,0.847279606712
trans-Zeatin,"6,8-Diprenylgenistein",0.847016701872
Oleanolic acid,"(6S,9R)-Roseoside",0.846983903735
Vitamin A,Indole-3-acetic acid,0.846926127007
Oestrone,Coumarin,0.846907248586
Citric acid,Benzoic acid,0.846452542049
7-Hydroxycoumarin,Indole-3-acetic acid,0.846380958369
Trigonelline,7-Hydroxycoumarin,0.846202971935
7-Hydroxycoumarin,Vanillin,0.846177150559
(R)-linalool,Thiamine,0.846097643009
"3,4-Dihydroxybenzoic acid",2'-Hydroxygenistein,0.845700456777
Sucrose,beta-D-Glucosamine,0.845655411688
Glycyrrhetinic acid,Coumarin,0.845579352085
Gibberellin A3,Mitraphylline,0.845487223244
Semilicoisoflavone B,Gibberellin A3,0.845487223244
Myoinositol,Fumaric acid,0.845427917988
Naringin,Oleanolic acid,0.845247601482
Naringenin,Peucedanin,0.845013373282
Glycyrrhetinic acid,Isoliquiritigenin,0.844937476509
Liquiritin,Malic acid,0.844756048912
"1,3,7-Trihydroxyxanthone",Adenosine,0.844636723469
Gibberellin A3,Oleic acid,0.844235595358
Glycyrrhetinic acid,"6,8-Diprenylgenistein",0.844088548649
"Methyl 3,4,5-trihydroxybenzoate",Caffeic acid,0.843540113133
Naringenin,Cryptotanshinone,0.843523685967
Isoglycyrol,"6,8-Diprenylgenistein",0.843318504904
Benzoic acid,Vitamin A,0.843262265445
Cryptotanshinone,Tryptamine,0.843171978468
Salicylic acid,Caffeic acid,0.842995111004
Vanillin,(R)-linalool,0.842882996693
Naringenin,Adenosine,0.842761239307
9-Ribosyl-trans-zeatin,Guanosine,0.842697769134
Isorhamnetin 3-O-beta-D-glucopyranoside,Guanosine,0.842697769134
"Methyl 3,4,5-trihydroxybenzoate",Isoliquiritigenin,0.842627994752
Kaempferol,Vincamine,0.842438062996
Uracil,Kaempferol,0.842438062996
Kaempferol,Pregnenolone,0.842438062996
Kaempferol,trans-Zeatin,0.842202923689
(R)-linalool,alpha-Tocopherol,0.842179890893
Vitamin A,"1,3,7-Trihydroxyxanthone",0.841900078843
"1,3,7-Trihydroxyxanthone",Formononetin,0.841672837287
Glycyrrhetinic acid,Oleanolic acid,0.841455966867
Folic acid,Isoglycyrol,0.841302590059
Pregnenolone,Scopoletin,0.841121265731
Scopoletin,Uracil,0.841121265731
Vincamine,Scopoletin,0.841121265731
Caffeic acid,Naringenin,0.841045856755
Uracil,Isolicoflavonol,0.841018286238
Pregnenolone,Isolicoflavonol,0.841018286238
Isolicoflavonol,Vincamine,0.841018286238
trans-Zeatin,Isolicoflavonol,0.840951570796
Glycyrrhetinic acid,Oleic acid,0.840826248489
Oestrone,Isoliquiritigenin,0.840618139708
"1,3,7-Trihydroxyxanthone",Testosterone,0.840502896951
Tryptamine,Coumarin,0.840499130324
Quinic acid,3-O-Caffeoylquinic acid,0.840349052299
Tanshinone I,Betulinic acid,0.84027038515
Coumestrol,Kaempferol,0.840163334591
(R)-linalool,Folic acid,0.84014721457
Coumarin,Testosterone,0.839843468524
Oestrone,Coumestrol,0.839346312438
Vitamin A,Coumarin,0.83911874065
Myristicin,Ellagic acid,0.839042437329
Betulinic acid,Tanshinone II,0.839024434088
Vitamin A,Oleic acid,0.838965822185
7-Hydroxycoumarin,trans-Zeatin,0.83882170093
Tanshinone I,Isoglycyrol,0.8383817107
Coumestrol,Oleic acid,0.838346044852
Vitamin A,Thiamine,0.83828921019
"6,8-Diprenylgenistein",Glycyrol,0.838142767901
7-Hydroxycoumarin,Folic acid,0.838131124528
Ellagic acid,Adenosine,0.837857404846
"3,4-Dihydroxybenzoic acid",Uracil,0.837646082394
"3,4-Dihydroxybenzoic acid",Pregnenolone,0.837646082394
Vincamine,"3,4-Dihydroxybenzoic acid",0.837646082394
Naringenin,"1,3,7-Trihydroxyxanthone",0.837624884113
Trigonelline,"6,8-Diprenylgenistein",0.837553779726
Naringenin,Oestrone,0.837497779511
Naringenin,Ellagic acid,0.837326681963
Sucrose,Linoleic acid,0.837221239754
Tanshinone II,Coumarin,0.837160355914
(R)-linalool,Mitraphylline,0.837027907281
Semilicoisoflavone B,(R)-linalool,0.837027907281
Folic acid,Glycyrol,0.83702028488
Cryptotanshinone,Coumestrol,0.836846364255
Naringin,Malic acid,0.836771432367
Peucedanin,Coumestrol,0.836648085623
alpha-Tocopherol,"1,3,7-Trihydroxyxanthone",0.836537045099
Oestrone,Benzoic acid,0.836529399202
Uracil,"6,8-Diprenylgenistein",0.836310734827
"6,8-Diprenylgenistein",Vincamine,0.836310734827
Pregnenolone,"6,8-Diprenylgenistein",0.836310734827
Formononetin,Myoinositol,0.836287505771
Tryptamine,Liquiritin,0.836140736332
Folic acid,Coumestrol,0.8360878443
Isoferulic acid,Gibberellin A3,0.835920425113
Salicylic acid,Adenosine,0.835586373601
Citric acid,Fumaric acid,0.835533063018
Thiamine,alpha-Tocopherol,0.835339276533
Trigonelline,Isoglycyrol,0.835321168494
Scopoletin,"(6S,9R)-Roseoside",0.835175908491
"3,4-Dihydroxybenzoic acid",Vanillin,0.835150249914
trans-Zeatin,(R)-linalool,0.835137899726
"Methyl 3,4,5-trihydroxybenzoate",Oestrone,0.834974880557
Malic acid,Myoinositol,0.834955244769
7-Hydroxycoumarin,Semilicoisoflavone B,0.834808773277
Mitraphylline,7-Hydroxycoumarin,0.834808773277
Kaempferol,Benzoic acid,0.834683379977
"6,8-Diprenylgenistein",Naringin,0.834596627794
Coumestrol,"1,3,7-Trihydroxyxanthone",0.834435324907
Isoliquiritigenin,Vanillic acid,0.834251900526
Kaempferol,Apigenin,0.834187139929
"Methyl 3,4,5-trihydroxybenzoate",p-Coumaric acid,0.834148504785
Kaempferol,Oleic acid,0.833882382337
Vitamin A,Vanillin,0.833810204461
Malic acid,Tryptamine,0.833794731344
Vanillin,Gibberellin A3,0.83370623594
Betulinic acid,2'-Hydroxygenistein,0.833626934613
"6,8-Diprenylgenistein",Isoferulic acid,0.833609528896
Oestrone,Vanillic acid,0.833451811182
alpha-Tocopherol,Vitamin A,0.83320053618
Thiamine,Naringin,0.833077785135
Myristicin,Testosterone,0.833057003315
7-Hydroxycoumarin,Thiamine,0.832999932384
"3,4-Dihydroxybenzoic acid",Oleanolic acid,0.832952251788
Peucedanin,Adenosine,0.832910412044
Vanillic acid,p-Coumaric acid,0.832788790971
Gibberellin A3,alpha-Tocopherol,0.832634038971
Folic acid,"3,4-Dihydroxybenzoic acid",0.832417214036
Coumarin,2'-Hydroxygenistein,0.832412121924
Semilicoisoflavone B,Vitamin A,0.832319367337
Vitamin A,Mitraphylline,0.832319367337
Salicylic acid,Tryptamine,0.832226274205
Citric acid,alpha-Tocopherol,0.832141456132
"1,3,7-Trihydroxyxanthone",2'-Hydroxygenistein,0.832089627626
Liquiritin,Coumestrol,0.832080864241
Vanillic acid,Betulinic acid,0.831934549746
Tanshinone I,Cryptotanshinone,0.831441834027
"3,4-Dihydroxybenzoic acid",p-Coumaric acid,0.831185686908
Malic acid,Isoliquiritigenin,0.830952721551
Vanillic acid,Coumarin,0.830923314118
Benzoic acid,Salicylic acid,0.830772234559
Spermidine,Spermine,0.830663160236
"6,8-Diprenylgenistein","(6S,9R)-Roseoside",0.830521511604
Vitamin A,Naringenin,0.83040706841
"Methyl 3,4,5-trihydroxybenzoate",Isoferulic acid,0.830380768256
Liquiritin,Peucedanin,0.8301836171
Chrysoeriol,"6,8-Diprenylgenistein",0.830178069213
"1,3,7-Trihydroxyxanthone",Salicylic acid,0.830123229809
Oleanolic acid,Scopoletin,0.829952063041
trans-Zeatin,Vitamin A,0.829929734724
Isoferulic acid,Isolicoflavonol,0.829902844723
Thiamine,Naringenin,0.82957799188
Caffeic acid,2'-Hydroxygenistein,0.829440290987
"3,4-Dihydroxybenzoic acid",Tanshinone I,0.829345780678
Tanshinone I,Glycyrol,0.829209919799
Thiamine,Gibberellin A3,0.82906250956
Indole-3-acetic acid,Myoinositol,0.829053216337
"3,4-Dihydroxybenzoic acid",Coumestrol,0.828866963844
"(6S,9R)-Roseoside",Folic acid,0.828863187299
Kaempferol,alpha-Tocopherol,0.828831944264
Citric acid,Gibberellin A3,0.828754141285
Oleanolic acid,Myoinositol,0.828628156313
Thiamine,Isolicoflavonol,0.828604024263
Peucedanin,Ellagic acid,0.828337062151
Formononetin,7-Hydroxycoumarin,0.82825292523
Vanillin,Oleic acid,0.828222144801
Malic acid,Thiamine,0.828162381991
Isoferulic acid,"3,4-Dihydroxybenzoic acid",0.827966183648
Oleic acid,"3,4-Dihydroxybenzoic acid",0.827880595226
Tanshinone II,Vanillin,0.827855769691
Malic acid,Salicylic acid,0.827602391223
alpha-Tocopherol,Oestrone,0.827514469934
Isolicoflavonol,"(6S,9R)-Roseoside",0.827513446811
Folic acid,Kaempferol,0.827506863637
Ellagic acid,Vanillin,0.827503319513
Formononetin,Indole-3-acetic acid,0.827346875933
Folic acid,Gibberellin A3,0.82727245571
Coumarin,Folic acid,0.827271820002
(R)-linalool,Trigonelline,0.826977854077
Myristicin,Thiamine,0.82693251503
Isoprene,Sucrose,0.826918599929
Isoferulic acid,(R)-linalool,0.826657967371
Isoglycyrol,7-Hydroxycoumarin,0.826538156941
2'-Hydroxygenistein,Oleanolic acid,0.826494112982
Isoliquiritigenin,Peucedanin,0.82644343053
Naringin,Adenosine,0.826047221405
