Senyawa1,Senyawa2,Synergy Score
Caffeic acid,Oestrone,0.092776675
Quercetin,"1,3,7-Trihydroxyxanthone",0.092705429
alpha-Terpinene,alpha-Pinene,0.09268008
4-Terpineol,alpha-Pinene,0.09268008
alpha-Pinene,(+)-S-Carvone,0.09268008
Tetrahydroalstonine,Chelerythrine,0.092554626
Caffeic acid,Tryptamine,0.092366875
Benzoic acid,Coumarin,0.09236001
Vindoline,Coumarin,0.09220187
Ferruginol,Testosterone,0.092108849
Octadecanoic acid,Sweroside,0.091856118
Salicylic acid,Ellagic acid,0.091816082
Coumarin,Caffeic acid,0.091782822
3' 5'-cyclic AMP,Oestrone,0.091752364
Caffeic acid,Sanguinarine,0.091734312
Caffeic acid,Ellagic acid,0.091635147
Adenosine,Coumarin,0.091605589
Adenosine,Sanguinarine,0.09144379
Vindoline,Caffeic acid,0.091359988
Benzoic acid,Octadecanoic acid,0.091275203
Lycopene,Vincristine,0.091223944
Quercetin,Tryptamine,0.091216309
Gallic acid,Sanguinarine,0.091076391
Caffeic acid,Hirsutrin,0.090932922
Ellagic acid,Peucedanin,0.090866341
Benzoic acid,Oestrone,0.0907245
Caffeic acid,3' 5'-cyclic AMP,0.090592114
Glycyrrhizic acid,Vincristine,0.090257035
Quercetin,Fisetin,0.090009428
N6-(delta2-Isopentenyl)adenine,Quercetin,0.089819537
N6-(delta2-Isopentenyl)adenine,Ellagic acid,0.089801486
Oxalic acid,Octadecanoic acid,0.089458888
Oestrone,Ellagic acid,0.089301222
Guanosine,Quercetin,0.089218486
Vincristine,Benzoic acid,0.089155895
Salicylic acid,Vincristine,0.089113343
Ferruginol,Quercetin,0.08909199
Coumarin,Oestrone,0.089082821
Ferruginol,Linoleic acid,0.08894505
Gallic acid,Benzoic acid,0.088688852
Spermine,Ferruginol,0.088592848
Quercetin,Oxalic acid,0.088168272
Benzoic acid,Ellagic acid,0.087551258
Guanosine,Gallic acid,0.087477092
Sanguinarine,4-Terpineol,0.087463552
alpha-Terpinene,Sanguinarine,0.087463552
(+)-S-Carvone,Sanguinarine,0.087463552
Benzoic acid,L-Phenylalanine,0.087155981
Testosterone,Coumarin,0.087026842
Serotonin,Sanguinarine,0.086824405
Hirsutrin,Tetrahydroalstonine,0.086766577
Coumarin,Vincristine,0.086668965
alpha-Pinene,Ellagic acid,0.086531535
Ferruginol,"1,3,7-Trihydroxyxanthone",0.086531361
Ferruginol,Vitamin A,0.086529231
Caffeic acid,Peucedanin,0.086446884
Ellagic acid,Tryptamine,0.08644464
Linoleic acid,Octadecanoic acid,0.086420711
Coumestrol,Adenosine,0.086404122
Tetrahydroalstonine,Labiatenic acid,0.086335782
Ellagic acid,Naringenin,0.086249142
Salicylic acid,Coumestrol,0.086186336
alpha-Pinene,Spermine,0.086167625
Coumestrol,Ellagic acid,0.086099127
Coumarin,Gallic acid,0.085926441
alpha-Terpinene,Sweroside,0.085780653
Sweroside,(+)-S-Carvone,0.085780653
4-Terpineol,Sweroside,0.085780653
Sanguinarine,Vincristine,0.08575474
Coumarin,Coumestrol,0.085663353
"3,4-Dihydroxybenzoic acid",Salicylic acid,0.085644124
Caffeic acid,N6-(delta2-Isopentenyl)adenine,0.085626625
L-Phenylalanine,Quercetin,0.085568485
9-Ribosyl-trans-zeatin,Tetrahydroalstonine,0.085502578
3' 5'-cyclic AMP,Gallic acid,0.085501854
Isoliquiritigenin,Spermine,0.085331286
Sanguinarine,N6-(delta2-Isopentenyl)adenine,0.085319469
Salicylic acid,Tryptamine,0.085135718
Salicylic acid,Spermine,0.08511162
Benzoic acid,Quercetin,0.085095779
Sanguinarine,L-Phenylalanine,0.085068556
Quercetin,Serotonin,0.084906123
Adenosine,Peucedanin,0.084871174
Octadecanoic acid,6-Hydroxymellein,0.084822505
Spermidine,Sanguinarine,0.084784248
Coumarin,Sanguinarine,0.084767901
"1,3,7-Trihydroxyxanthone",Coumarin,0.084731661
Vincristine,Testosterone,0.084697546
Salicylic acid,"Methyl 3,4,5-trihydroxybenzoate",0.08469725
Hirsutrin,Rutin,0.084557109
Spermine,Naringenin,0.084500949
Guanosine,Fisetin,0.084414654
3' 5'-cyclic AMP,Chelerythrine,0.08439452
Vincristine,Oestrone,0.084260333
Benzoic acid,alpha-Pinene,0.084217048
Coumarin,Tryptamine,0.084180401
Sweroside,Chelerythrine,0.084109805
Spermine,Octadecanoic acid,0.084066974
Ellagic acid,3' 5'-cyclic AMP,0.084013124
alpha-Pinene,Quercetin,0.084000449
Guanosine,Tetrahydroalstonine,0.083937463
Salicylic acid,Vanillic acid,0.0839247
Quercetin,Spermidine,0.083894722
Salicylic acid,N6-(delta2-Isopentenyl)adenine,0.083884322
Punicalin,Acetylursolic acid,0.083859279
4-Terpineol,Octadecanoic acid,0.083662228
Octadecanoic acid,(+)-S-Carvone,0.083662228
Octadecanoic acid,alpha-Terpinene,0.083662228
Ferruginol,Chelerythrine,0.083652852
Adenosine,Glycyrrhetinic acid,0.083578227
"1,3,7-Trihydroxyxanthone",Adenosine,0.083573022
Octadecanoic acid,Sanguinarine,0.083502132
Coumarin,Hirsutrin,0.083407962
Coumestrol,Caffeic acid,0.083239702
Ferruginol,Caffeic acid,0.083188095
Vindoline,Rutin,0.083036537
Oestrone,Sanguinarine,0.083030158
Salicylic acid,Testosterone,0.083019673
Punicalin,Caffeic acid,0.082894176
Guanosine,L-Phenylalanine,0.08288837
Salicylic acid,Glycyrrhetinic acid,0.082884492
Guanosine,Punicalin,0.082879353
Punicalin,Salicylic acid,0.082873676
Myristicin,Ferruginol,0.08283218
6-Hydroxymellein,alpha-Pinene,0.082824171
Peucedanin,Vindoline,0.082739904
Peucedanin,Salicylic acid,0.082660244
Spermine,Lycopene,0.082575113
Ellagic acid,Testosterone,0.082337564
Quercetin,alpha-Terpinene,0.082266346
4-Terpineol,Quercetin,0.082266346
Quercetin,(+)-S-Carvone,0.082266346
Naringenin,Quercetin,0.082196828
Tryptamine,3' 5'-cyclic AMP,0.082086771
Rutin,Punicalin,0.082003752
Tryptamine,Oestrone,0.081956475
Vanillic acid,Caffeic acid,0.081945297
"1,3,7-Trihydroxyxanthone",Benzoic acid,0.081926986
Testosterone,Octadecanoic acid,0.081856079
"1,3,7-Trihydroxyxanthone",Salicylic acid,0.081837178
Gallic acid,Riboflavin,0.081647979
Quercetin,Coumestrol,0.081631276
Ferruginol,Kaempferol,0.081589639
Naringenin,Coumarin,0.081496544
Oestrone,Octadecanoic acid,0.081484267
Ellagic acid,Vitamin A,0.081404569
Adenosine,N6-(delta2-Isopentenyl)adenine,0.08137113
Oestrone,Gallic acid,0.081294103
Sanguinarine,Guanosine,0.081200811
Gallic acid,6-Hydroxymellein,0.081109954
3' 5'-cyclic AMP,alpha-Terpinene,0.081102555
(+)-S-Carvone,3' 5'-cyclic AMP,0.081102555
4-Terpineol,3' 5'-cyclic AMP,0.081102555
N6-(delta2-Isopentenyl)adenine,Vincristine,0.08104488
Apigenin,Ferruginol,0.081026067
Benzoic acid,Caffeic acid,0.081016627
Oestrone,"1,3,7-Trihydroxyxanthone",0.08101425
Benzoic acid,Vitamin A,0.080903251
Adenosine,Punicalin,0.080892246
Naringenin,Caffeic acid,0.080840109
Caffeic acid,"Methyl 3,4,5-trihydroxybenzoate",0.080711547
Peucedanin,Hirsutrin,0.080700055
Oestrone,Testosterone,0.08059919
"1,3,7-Trihydroxyxanthone",Ellagic acid,0.080519715
Ellagic acid,Glycyrrhetinic acid,0.08051409
"1,3,7-Trihydroxyxanthone",Octadecanoic acid,0.080514013
Caffeic acid,"1,3,7-Trihydroxyxanthone",0.080511397
L-Phenylalanine,Sweroside,0.080481335
Ajmalicine,N6-(delta2-Isopentenyl)adenine,0.080478453
Oxalic acid,3' 5'-cyclic AMP,0.08042295
Adenosine,Hirsutrin,0.080416059
Punicalin,Coumarin,0.080352605
Malic acid,Adenosine,0.080311722
Octadecanoic acid,Riboflavin,0.080280384
Sanguinarine,alpha-Pinene,0.080243939
Coumestrol,Octadecanoic acid,0.080146695
Coumarin,alpha-Pinene,0.080107611
Octadecanoic acid,Isoprene,0.080059124
Caffeic acid,"3,4-Dihydroxybenzoic acid",0.080024162
Peucedanin,Tryptamine,0.080012162
Peucedanin,Spermine,0.079978759
Naringenin,Adenosine,0.079977728
Quercetin,Testosterone,0.079891892
Gallic acid,Oxalic acid,0.079888219
Vindoline,Labiatenic acid,0.079817303
3' 5'-cyclic AMP,"1,3,7-Trihydroxyxanthone",0.079797177
Malic acid,Ellagic acid,0.079742471
Chelerythrine,Adenosine,0.079683008
Quercetin,Peucedanin,0.079662691
Isoprene,Sweroside,0.079657589
Benzoic acid,Adenosine,0.079622595
Lycopene,Ellagic acid,0.079611496
Sanguinarine,Tryptamine,0.079602051
N6-(delta2-Isopentenyl)adenine,Ferruginol,0.079582403
Quercetin,Loganic acid,0.079562514
Coumarin,Glycyrrhetinic acid,0.0794836
Gallic acid,Isoprene,0.079469288
Glycyrrhetinic acid,Caffeic acid,0.079453062
N6-(delta2-Isopentenyl)adenine,Oestrone,0.079269198
Gallic acid,alpha-Terpinene,0.079256347
(+)-S-Carvone,Gallic acid,0.079256347
4-Terpineol,Gallic acid,0.079256347
Ellagic acid,Folic acid,0.079233626
Ellagic acid,"Methyl 3,4,5-trihydroxybenzoate",0.07919552
Adenosine,Vanillic acid,0.079193106
Oestrone,Coumestrol,0.079184062
Sanguinarine,Oxalic acid,0.079176067
Quercetin,Methyl rosmarinate,0.079154799
Folic acid,Spermine,0.079084799
Gallic acid,Vitamin A,0.078980973
Linoleic acid,Gallic acid,0.078974132
Fisetin,Sanguinarine,0.078864832
Coumestrol,Tryptamine,0.078849764
Octadecanoic acid,Adenosine,0.078698691
Adenosine,Folic acid,0.078671949
Gancaonin U,Ferruginol,0.078625062
Spermine,Benzoic acid,0.07860281
Octadecanoic acid,Salicylic acid,0.078447278
Hirsutrin,Guanosine,0.078432575
Gallic acid,Testosterone,0.078349588
Ellagic acid,Chelerythrine,0.078330074
Lycopene,Benzoic acid,0.078279816
Salicylic acid,Malic acid,0.078008653
Sweroside,alpha-Pinene,0.077997647
Linoleic acid,Lycopene,0.077992176
Sanguinarine,Ellagic acid,0.077975779
Salicylic acid,Hirsutrin,0.077918733
Testosterone,L-Phenylalanine,0.077907167
Vanillin,6-Hydroxymellein,0.077905875
3' 5'-cyclic AMP,Vincristine,0.077836688
Quercetin,Sweroside,0.077807523
alpha-Pinene,Riboflavin,0.077762763
Sweroside,Spermine,0.077752351
Isoprene,alpha-Pinene,0.077726595
Adenosine,Lycopene,0.077698149
Quercetin,Hirsutrin,0.07769314
Salicylic acid,Naringenin,0.07767473
Ferruginol,Coumestrol,0.077664506
Testosterone,alpha-Pinene,0.07761142
Loganic acid,Fisetin,0.077587964
Lycopene,Salicylic acid,0.077571998
Adenosine,"Methyl 3,4,5-trihydroxybenzoate",0.07756594
Vanillic acid,Ellagic acid,0.077555446
Spermine,Coumestrol,0.077513911
Vincristine,Chelerythrine,0.077509019
Ferruginol,Oestrone,0.077472308
Gallic acid,Sweroside,0.077423556
Myricetin,Quercetin,0.077373189
Coumestrol,Benzoic acid,0.077322054
Caffeic acid,Lycopene,0.077309253
Coumarin,Vitamin A,0.077199538
Berberine,Quercetin,0.077168154
Naringenin,Ferruginol,0.07705746
Fumaric acid,Ferruginol,0.077017583
Kaempferol 3-glucuronide,Rutin,0.076929621
Hirsutrin,Ellagic acid,0.076904216
Methyl rosmarinate,Vincristine,0.076878584
Vitamin A,Octadecanoic acid,0.076873072
Coumestrol,Glycyrrhetinic acid,0.076800529
Riboflavin,L-Phenylalanine,0.076776328
Coumarin,Vanillic acid,0.076657223
Peucedanin,Coumestrol,0.076574982
Testosterone,"1,3,7-Trihydroxyxanthone",0.076551797
Chelerythrine,Caffeic acid,0.076500775
Tryptamine,"1,3,7-Trihydroxyxanthone",0.076440954
Quercetin,Isoliquiritigenin,0.076360037
Folic acid,Coumarin,0.07621442
Octadecanoic acid,Apigenin,0.076208373
Folic acid,Caffeic acid,0.07612066
Ferruginol,Cholesterol,0.076049837
Naringenin,Octadecanoic acid,0.076016771
Vindoline,Octadecanoic acid,0.076015439
Adenosine,"3,4-Dihydroxybenzoic acid",0.075945445
Malic acid,Caffeic acid,0.075834177
Oxalic acid,Isoprene,0.07574963
Lycopene,Rutin,0.075676965
Sanguinarine,"1,3,7-Trihydroxyxanthone",0.07567173
3' 5'-cyclic AMP,Coumarin,0.075668932
Peucedanin,Glycyrrhetinic acid,0.075641827
Peucedanin,Punicalin,0.075609784
Serotonin,3' 5'-cyclic AMP,0.075609547
Vitamin A,Testosterone,0.075595157
Oestrone,Naringenin,0.075582928
Octadecanoic acid,Kaempferol,0.075481602
Coumarin,"Methyl 3,4,5-trihydroxybenzoate",0.075435056
Glycyrrhetinic acid,Tryptamine,0.075407465
Coumarin,Lycopene,0.075365767
Benzoic acid,Citric acid,0.075342978
Oxalic acid,alpha-Pinene,0.075314053
alpha-Pinene,Linoleic acid,0.075312057
"Methyl 3,4,5-trihydroxybenzoate",Vanillic acid,0.075297021
Naringenin,Tryptamine,0.075237518
Coumestrol,Naringenin,0.075220059
Vincristine,Octadecanoic acid,0.075178984
Coumarin,"3,4-Dihydroxybenzoic acid",0.075174268
"3,4-Dihydroxybenzoic acid",Benzoic acid,0.075153717
Berberine,N6-(delta2-Isopentenyl)adenine,0.075001517
Vincristine,"1,3,7-Trihydroxyxanthone",0.074982511
Oleic acid,Ferruginol,0.074976969
Gallic acid,"1,3,7-Trihydroxyxanthone",0.074943935
Oestrone,L-Phenylalanine,0.074908342
Testosterone,Adenosine,0.074828397
Vanillic acid,Tryptamine,0.074772614
Sweroside,Tetrahydroalstonine,0.074761582
Vanillic acid,Coumestrol,0.074738754
L-Phenylalanine,Salicylic acid,0.074724085
Peucedanin,Vanillic acid,0.07459555
Hirsutrin,Labiatenic acid,0.074295911
"Methyl 3,4,5-trihydroxybenzoate",Peucedanin,0.074267855
Ellagic acid,Oxalic acid,0.07425513
Vitamin A,alpha-Pinene,0.074205581
Caffeic acid,L-Phenylalanine,0.074139761
Rutin,Ferruginol,0.074098234
alpha-Pinene,Cholesterol,0.074075611
Salicylic acid,Folic acid,0.074061419
Oestrone,Peucedanin,0.074043156
Glycyrrhizic acid,Oxalic acid,0.074011557
Testosterone,Spermine,0.074009327
Folic acid,Quercetin,0.074003263
"Methyl 3,4,5-trihydroxybenzoate",Tryptamine,0.073978703
Peucedanin,Naringenin,0.073935971
Octadecanoic acid,Rutin,0.073891727
Vitamin A,Adenosine,0.073866162
Oestrone,"Methyl 3,4,5-trihydroxybenzoate",0.073837853
Ajmalicine,Fisetin,0.073827194
Glycyrrhetinic acid,Quercetin,0.073797088
Quercetin,Malic acid,0.073767705
Spermidine,3' 5'-cyclic AMP,0.073727055
Kaempferol,Benzoic acid,0.073716806
Isoliquiritigenin,Adenosine,0.073638612
Octadecanoic acid,3' 5'-cyclic AMP,0.073602758
Chelerythrine,N6-(delta2-Isopentenyl)adenine,0.073581771
Tryptamine,Punicalin,0.073546692
3' 5'-cyclic AMP,alpha-Pinene,0.073455354
Oestrone,Lycopene,0.073390542
Punicalin,Coumestrol,0.07330622
Ferruginol,Gibberellin A3,0.073277794
"3,4-Dihydroxybenzoic acid",Ellagic acid,0.073234335
Berberine,Sanguinarine,0.073188484
Caffeic acid,Isoliquiritigenin,0.07318421
Gallic acid,Caffeic acid,0.073139046
L-Phenylalanine,Vitamin A,0.073106476
"Methyl 3,4,5-trihydroxybenzoate",Coumestrol,0.073049848
Naringenin,Benzoic acid,0.072980863
Benzoic acid,Folic acid,0.072968814
Chelerythrine,Oestrone,0.072956735
Quercetin,Apigenin,0.072920044
Malic acid,Coumarin,0.072917102
Quercetin,"Methyl 3,4,5-trihydroxybenzoate",0.072897581
Acetovanillone,Ferruginol,0.072851033
Isoprene,L-Phenylalanine,0.072845639
"Methyl 3,4,5-trihydroxybenzoate","3,4-Dihydroxybenzoic acid",0.072826968
Oestrone,Vanillic acid,0.072769494
Coumestrol,Hirsutrin,0.072711593
Salicylic acid,Sanguinarine,0.072565973
Quercetin,Ajmalicine,0.072545188
Glycyrrhetinic acid,Vanillic acid,0.072525163
Spermine,Isorhamnetin 3-O-beta-D-glucopyranoside,0.072424935
Coumarin,Chelerythrine,0.072415656
Loganic acid,3' 5'-cyclic AMP,0.072413037
Chelerythrine,Guanosine,0.0724092
Indole-3-acetic acid,Ferruginol,0.072403977
Coumestrol,Testosterone,0.07234861
Caffeic acid,Cryptotanshinone,0.072345516
N6-(delta2-Isopentenyl)adenine,Serotonin,0.072270692
Salicylic acid,3' 5'-cyclic AMP,0.072256576
Punicalin,Sweroside,0.072211146
Oestrone,Folic acid,0.072163939
Lycopene,Oxalic acid,0.072161276
Malic acid,Oestrone,0.072142823
Testosterone,Caffeic acid,0.072140657
"3,4-Dihydroxybenzoic acid",Vanillic acid,0.072107056
Glycyrrhetinic acid,Oestrone,0.072058946
Folic acid,Tryptamine,0.072054384
Sweroside,Linoleic acid,0.07204309
"Methyl 3,4,5-trihydroxybenzoate",Glycyrrhetinic acid,0.072028698
6-Hydroxymellein,Peucedanin,0.072026935
Tanshinone II,Salicylic acid,0.07202613
Octadecanoic acid,Caffeic acid,0.072018242
Peucedanin,L-Phenylalanine,0.072013041
Labiatenic acid,Salicylic acid,0.07200711
Ellagic acid,Guanosine,0.071984397
Oestrone,"3,4-Dihydroxybenzoic acid",0.071968954
Coumestrol,"1,3,7-Trihydroxyxanthone",0.071915111
"3,4-Dihydroxybenzoic acid",Punicalin,0.071895316
Isoliquiritigenin,3' 5'-cyclic AMP,0.071886815
Vincristine,L-Phenylalanine,0.071840203
Caffeic acid,Tanshinone II,0.071834347
Citric acid,Ferruginol,0.071792394
Oxalic acid,Vincristine,0.071784483
"Methyl 3,4,5-trihydroxybenzoate",Benzoic acid,0.071778469
Lycopene,delta-Tocopherol,0.071632545
Coumestrol,Malic acid,0.071622408
Kaempferol,Ellagic acid,0.071605438
4-Terpineol,Vincristine,0.07158213
(+)-S-Carvone,Vincristine,0.07158213
alpha-Terpinene,Vincristine,0.07158213
Vindoline,Quercetin,0.071551342
Testosterone,Lycopene,0.071537262
Quinic acid,Adenosine,0.071487654
Octadecanoic acid,Hirsutrin,0.071460981
Tryptamine,Hirsutrin,0.071442403
6-Hydroxymellein,Benzoic acid,0.07139752
L-Phenylalanine,Vindoline,0.071379721
Gallic acid,Salicylic acid,0.071344782
Quercetin,Kaempferol,0.071285532
Fisetin,L-Phenylalanine,0.071130735
Peucedanin,Sanguinarine,0.071111528
Ellagic acid,Vanillin,0.071110725
N6-(delta2-Isopentenyl)adenine,Benzoic acid,0.071102188
Cholesterol,L-Phenylalanine,0.071075693
Punicalin,"1,3,7-Trihydroxyxanthone",0.071038654
Coumestrol,"3,4-Dihydroxybenzoic acid",0.071037024
Fisetin,Hirsutrin,0.070769295
Ferruginol,(R)-linalool,0.070759032
Octadecanoic acid,Oleic acid,0.070725212
Tryptamine,Benzoic acid,0.070669424
Oestrone,Vitamin A,0.07066374
Adenosine,Vincristine,0.070561432
Gallic acid,Adenosine,0.070528171
Lycopene,Peucedanin,0.070521655
Malic acid,Tryptamine,0.070480805
Benzoic acid,Fumaric acid,0.070447221
L-Phenylalanine,"1,3,7-Trihydroxyxanthone",0.070423122
Lycopene,Coumestrol,0.070418662
Peucedanin,"3,4-Dihydroxybenzoic acid",0.070387047
Licuroside,Fisetin,0.070381486
Vanillin,L-Phenylalanine,0.070324356
Sweroside,Cryptotanshinone,0.070251631
Tanshinone II,Ellagic acid,0.070248488
Isoliquiritigenin,Ellagic acid,0.07022301
Ellagic acid,Vincristine,0.070214764
Ferruginol,Chrysoeriol,0.070171038
Trigonelline,Benzoic acid,0.070135701
Adenosine,Ferruginol,0.070132587
Malic acid,Glycyrrhetinic acid,0.07012608
Vindoline,Spermine,0.07003678
Quercetin,Rutin,0.070035401
Quercetin,Vanillic acid,0.070032091
3' 5'-cyclic AMP,Benzoic acid,0.070027014
Hirsutrin,Cryptotanshinone,0.070020961
Naringenin,"Methyl 3,4,5-trihydroxybenzoate",0.070001187
Vanillin,Coumarin,0.069996144
Testosterone,Naringenin,0.069980732
Ellagic acid,Punicalin,0.069958036
Adenosine,Tanshinone II,0.069914702
Tryptamine,"3,4-Dihydroxybenzoic acid",0.069889744
Vitamin A,Quercetin,0.069845803
Apigenin,Gallic acid,0.069839512
Vanillic acid,Benzoic acid,0.06983858
"1,3,7-Trihydroxyxanthone",Naringenin,0.069837403
Glycyrrhizic acid,Quercetin,0.069815368
Rutin,Coumarin,0.069797266
alpha-Pinene,Vincristine,0.069700584
Spermidine,Sweroside,0.069685305
Vincristine,Gallic acid,0.069645151
Benzoic acid,Sanguinarine,0.069628463
Vanillic acid,Punicalin,0.069506893
Hirsutrin,Glycyrrhetinic acid,0.069464504
Guanosine,Caffeic acid,0.069443734
Apigenin,3' 5'-cyclic AMP,0.069412131
Tetrahydroalstonine,Spermine,0.069401142
Folic acid,Testosterone,0.069396299
"Methyl 3,4,5-trihydroxybenzoate",Lycopene,0.069387198
9-Ribosyl-trans-zeatin,Guanosine,0.069362914
Benzoic acid,alpha-Tocopherol,0.069322079
Caffeic acid,Trigonelline,0.069299308
Berberine,Fisetin,0.06927332
9-Ribosyl-trans-zeatin,Gallic acid,0.069222307
"1,3,7-Trihydroxyxanthone",alpha-Pinene,0.069175192
Folic acid,Peucedanin,0.06916094
Vitamin A,Caffeic acid,0.069153407
Malic acid,Peucedanin,0.069117649
Peucedanin,"1,3,7-Trihydroxyxanthone",0.069074047
L-Phenylalanine,Adenosine,0.069057962
Rutin,Caffeic acid,0.069039097
Chrysoeriol,Ellagic acid,0.068980492
L-Phenylalanine,Linoleic acid,0.068954736
Salicylic acid,2'-Hydroxygenistein,0.068916992
Guanosine,Serotonin,0.068912713
Caffeic acid,Quinic acid,0.068871185
L-Phenylalanine,Tetrahydroalstonine,0.068839626
"3,4-Dihydroxybenzoic acid",Glycyrrhetinic acid,0.068819631
Testosterone,Citric acid,0.06881209
Benzoic acid,Methyl rosmarinate,0.068806553
Tanshinone II,Coumarin,0.068794254
L-Phenylalanine,Berberine,0.068791938
Naringenin,Glycyrrhetinic acid,0.068765557
Vindoline,Isoliquiritin,0.068759039
Quercetin,9-Ribosyl-trans-zeatin,0.068737395
Ferruginol,Fisetin,0.068716888
Hirsutrin,Naringenin,0.068669283
Coumarin,Labiatenic acid,0.068621322
Kaempferol,Coumarin,0.068618622
Peucedanin,Octadecanoic acid,0.068588852
Sanguinarine,Myricetin,0.068555445
Kaempferol,Testosterone,0.068552823
Vitamin A,Salicylic acid,0.068528496
Salicylic acid,Oxalic acid,0.068483217
Trigonelline,Adenosine,0.068465019
Ellagic acid,Trigonelline,0.068450106
Benzoic acid,Peucedanin,0.068430398
Cholesterol,Octadecanoic acid,0.068309403
Chelerythrine,Fisetin,0.068283321
Lycopene,Tryptamine,0.06823883
Lycopene,Malic acid,0.068206987
Naringin,Caffeic acid,0.068130381
alpha-Pinene,Oestrone,0.068096196
